linkID,Standard,German,English,FNameAbbr,ParentFirm,FirmNote
85,Darmstadt,Darmstadt,,,,
86,Dehlert Company,Dehlert Company,,,,
87,Deichverband des Kreises Elbing,Deichverband des Kreises Elbing,,,,
88,Demag Cehicular Factory Falkensee GmbH,Demag Cehicular Factory Falkensee GmbH,,,,
89,Deschimag AG,Deschimag AG,,,,
90,Dessauer Waggonfabrik AG,Dessauer Waggonfabrik AG,,,,
91,Deutsche Asphalt,Deutsche Asphalt,,,,
92,German Asphalt Corporation,Deutsche Asphalt AG,German Asphalt Corporation,DASAG,,
93,"German Equipment Works, Ltd",Deutsche Ausrüstungswerke GmbH,"German Equipment Works, Ltd",DAW,,previously Ostindustrie GmbH
94,German Mining and Metallurgical Company,Deutsche Bergwerks- und Hüttenbau Gesellschaft,German Mining and Metallurgical Company,DBHG,,
95,German Iron Works Corp.,Deutsche Eisenwerke AG,German Iron Works Corp.,DEW,,
96,German Enamel Factory – Enamel and Metal Wares of All Types,Deutsche Emailwarenfabrik – Email- und Metallwaren aller Art,German Enamel Factory – Enamel and Metal Wares of All Types,DEF,,
97,"German Earth and Stone Works, Ltd.",Deutsche Erd- und Steinwerke GmbH,"German Earth and Stone Works, Ltd.",DESt,,
98,Deutsche Erzbergwerke AG,Deutsche Erzbergwerke AG,,,,
99,Deutsche Gasolin AG,Deutsche Gasolin AG,,,,
100,Deutsche Hoch- und Tiefbaugesellschaft,Deutsche Hoch- und Tiefbaugesellschaft,,,,
101,German Industrial Works Corp.,Deutsche Industriewerke AG,German Industrial Works Corp.,DIWAG,,ammunition factory
102,German Cooling and Power Machines,Deutsche Kühl- und Kraftmaschinen GmbH Scharfenstein,German Cooling and Power Machines,DKK,26.0,
103,German National Railway,Deutsche Reichsbahn Halberstadt,German National Railway,DR,534.0,
104,Deutsche Versuchsanstalt fur Ernahrung und Verpflegung GmbH,Deutsche Versuchsanstalt fur Ernahrung und Verpflegung GmbH,,,,
105,Deutsche Zellwerk AG,Deutsche Zellwerk AG,,,,
106,Diedrich Rohlfs,Diedrich Rohlfs,,,,
107,Diehl GmbH & Co.,Diehl GmbH & Co.,,,,
108,Dietrich Company,Dietrich Company,,,,
109,Dohrmann,Dohrmann,,,,
110,Dornier,Dornier,,,,
111,Dr. Rimpf of the Mineralölbau GmbH,Dr. Rimpf of the Mineralölbau GmbH,,,,
112,Dr.-Ing. Frank H. Heymann,Dr.-Ing. Frank H. Heymann,,,,
113,Dragerwerke,Dragerwerke,,,,
114,Draht- und Metallwarenfabrik Salzwedel,Draht- und Metallwarenfabrik Salzwedel,,,,
115,Dubner,Dubner,,,,
116,Dunlop Factory,Dunlop Factory,,,,
117,Dybo,Dybo,,,,
118,Dyckerhoff,Dyckerhoff,,,,
119,Dyckerhoff & Widmann AG,Dyckerhoff & Widmann AG,,,,
120,Dyckerhoff & Widmann AG Betonwerke Gossebaude,Dyckerhoff & Widmann AG Betonwerke Gossebaude,,,119.0,
121,Dynamit Nobel AG,Dynamit Nobel AG,,DAG,,
122,E. Machold textile factory,E. Machold textile factory,,,233.0,
123,Ebano-Oehler,Ebano-Oehler,,,,
124,Ehrenrich & Co.,Ehrenrich & Co.,,,,
125,EIBIA & Wolff,EIBIA & Wolff,,,,
126,Eifel Autobahn,Eifel Autobahn,,,,
127,Eisen- und Hüttenwerke AG,Eisen- und Hüttenwerke AG,,,,
128,Elblag Company,Elblag Company,,,,
129,Elektrolux Ltd.,Elektrolux Ltd.,,,,
130,Elektromechanische Werke Karlshagen,Elektromechanische Werke Karlshagen,,,,
131,Elsabe AG,Elsabe AG,,,,
132,Upper Silesian Energy Supply Co.,Energie-Versorgung Oberschlesien,Upper Silesian Energy Supply Co.,EVO,,
133,Ennskraftwerke AG,Ennskraftwerke AG,,,,
134,Entomological Institute,Entomological Institute,,,,
135,Erdöl Raffinerie Trzebinia GmbH,Erdöl Raffinerie Trzebinia GmbH,,,,petroleum refinery
136,Erla-Maschinenwerk GmbH Leipzig,Erla-Maschinenwerk GmbH Leipzig,,,,
137,Ernst Heinkel AG,Ernst Heinkel AG,,,,
138,F. Schichau-Werft GmbH/AG Elbing,F. Schichau-Werft GmbH/AG Elbing,,,,restructured into an AG on 1941: https://de.wikipedia.org/wiki/Schichau-Werke#1918%E2%80%931945
139,F.W. Shultz and co,F.W. Shultz and co,,,,
140,Fa Vereinigte Textilwerke & Co. K.H. Barthel,Fa Vereinigte Textilwerke & Co. K.H. Barthel,,,,
141,Fabrik Plage-Laskewicz,Fabrik Plage-Laskewicz,,,,
142,Fabrik zur Verwertung Chemischer Erzeugnisse Hertine GmbH,Fabrik zur Verwertung Chemischer Erzeugnisse Hertine GmbH,,,121.0,
143,Fahrzeug- und Motorenwerke,Fahrzeug- und Motorenwerke,,Famo-Werke,,
144,Faserfabrik,Faserfabrik,,,,
145,Ferdinand Haase Textile Factory,Ferdinand Haase Textile Factory,,,,
146,Ferro Betonit Werke AG,Ferro Betonit Werke AG,,,,
147,Fiebinger Engineering Office,Fiebinger Engineering Office,,,,
148,Fiesel Factory,Fiesel Factory,,,,
149,Firma Ambi-Budd,Firma Ambi-Budd,,,,aircraft parts
150,Firma Dittmers,Firma Dittmers,,,,
151,Firma Frank,Firma Frank,,,,
152,Firma G.E. Reinhardt Zahnradfabrik,Firma G.E. Reinhardt Zahnradfabrik,,,,
153,Firma Oertel,Firma Oertel,,,,
154,Firma Peter Bauwens und Julius Schmidt (Magdeburg),Firma Peter Bauwens und Julius Schmidt (Magdeburg),,,,
155,Fix,Fix,,,,
156,FL Smidth & Co.,FL Smidth & Co.,,FLS,,
157,Fliegerhorst Goslar,Fliegerhorst Goslar,,,,
158,Aircraft Motor Works Ostmark,Flugmotorenwerke Ostmark,Aircraft Motor Works Ostmark,,,
159,Flugzeuwerke Hadmersleben bei Oscherlseben,Flugzeuwerke Hadmersleben bei Oscherlseben,,,,
160,Focke-Wulf Flugzeugbau,Focke-Wulf Flugzeugbau,,Fw,,
161,Ford Motor Company,Ford Motor Company,,,,
162,Formholz,Formholz,,,,
163,Framo-Werke GmbH,Framo-Werke GmbH,,,,
164,Frankel,Frankel,,,,
165,Franz Munnemann,Franz Munnemann,,,,
166,Friedrich Krupp Inc. Cast Steel,Friedrich Krupp AG,Friedrich Krupp Inc. Cast Steel,,166.0,
167,Friedrich Rodieck,Friedrich Rodieck,,,,
168,Fritz Schuber,Fritz Schuber,,,,
169,Fritz Werner AG,Fritz Werner AG,,,,
170,Fürstengrube GmbH,Fürstengrube GmbH,,,,
171,Fürstlich Plessische Bergwerks AG,Fürstlich Plessische Bergwerks AG,,,,
172,G.A. Buhl und Sohn,G.A. Buhl und Sohn,,,,
173,G.F. Flechtner,G.F. Flechtner,,,,
174,Gartner & Sohn,Gartner & Sohn,,,,
175,Gear Wheel Factory,Gear Wheel Factory,,,,
176,Gebrüder Butzer & Holzmann,Gebrüder Butzer & Holzmann,,,,
177,"Gebrüder Walzel, C.G.","Gebrüder Walzel, C.G.",,,,
178,Gelsenberg Benzin AG hydrogenation factory,Gelsenberg Benzin AG hydrogenation factory,,,,
179,Geppardt,Geppardt,,,,
180,Gerätebau GmbH,Gerätebau GmbH,,,,
181,Gerätewerk Pommern GmbH,Gerätewerk Pommern GmbH,,,,
182,German Deutsche Gasrusswerke company,German Deutsche Gasrusswerke company,,,,
183,German Equipment Works,German Equipment Works,,,,
184,German Food Concern Ltd.,German Food Concern Ltd.,,,,
185,Gesselschaft fur Technische Und Wirtschafliche Entwicklung mbH,Gesselschaft fur Technische Und Wirtschafliche Entwicklung mbH,,,,
186,Union of the German Petroleum - New Petroleum Refinery Corporation,Gewerkschaft Deutsche Erdöl - Neue Erdöl Raffinerie Aktiengesellschaft,Union of the German Petroleum - New Petroleum Refinery Corporation,Deurag-Nerag,,
187,Goldfields,Goldfields,,,,
188,Goldschmidt,Goldschmidt,,,,
189,Gollenschow Portland Cement Plant,Gollenschow Portland Cement Plant,,,,
190,Gollnow und Sohn,Gollnow und Sohn,,,,
191,Grenzdorf B,Grenzdorf B,,,,
192,Grülich,Grülich,,,,
